gene_names	IPF_male_61_SRR21498165	IPF_male_57_SRR21498185	IPF_male_67_SRR21498200	IPF_male_62_SRR21498205	IPF_male_65_SRR21498230	IPF_male_70_SRR21498265	IPF_female_64_SRR21498280	IPF_male_43_SRR21498285	IPF_male_54_SRR21498295	IPF_female_70_SRR21498340	IPF_male_61_SRR21498365	IPF_female_56_SRR21498375	IPF_female_59_SRR21498421	IPF_female_71_SRR21498538	IPF_male_63_SRR21498628	IPF_male_73_SRR21498633	IPF_female_66_SRR21498643	IPF_female_61_SRR21498668	IPF_male_69_SRR21498748	IPF_male_59_SRR21498828	NDC_male_65_SRR21498140	NDC_male_42_SRR21498150	NDC_male_61_SRR21498180	NDC_male_28_SRR21498190	NDC_female_35_SRR21498195	NDC_male_41_SRR21498225	NDC_male_45_SRR21498320	NDC_female_67_SRR21498385	NDC_female_61_SRR21498400	NDC_female_44_SRR21498523	NDC_female_28_SRR21498578	NDC_female_60_SRR21498623	NDC_male_39_SRR21498663	NDC_male_69_SRR21498728
ENSG00000240731	RP5-890O3.9	5.64697408780785	4.68533720161491	5.50930891178812	3.34137695687753	3.82666363658836	5.40270455686462	4.93408999722585	5.05540473403949	5.69899540268941	5.22763325134384	1.440306035544	4.37643332537093	3.73406185803298	5.49368159181964	4.75851310429364	5.35926886119311	3.48930272254046	5.06812208390111	4.54797720427397	4.76942833379835	3.4841309535825	4.844712459986	5.06805930137516	2.86479764227941	5.22440216297452	4.72279014695096	4.81128551751634	4.3939962960336	5.10911123554494	4.30670640370008	4.19073095068296	2.69734785372891	1.4437792988718	3.64968100997263
ENSG00000224051	CPTP	3.70496806386119	4.78363464315353	4.34258195498278	4.0618987165586	4.8697634798773	4.5829853135237	4.13406371521307	4.69521762434254	5.0422260665353	4.98885480419816	4.55509615073407	4.79426806596897	3.9100746295077	4.45059742293152	4.61875929932297	4.61575159645411	4.14134335060383	4.85293293186976	4.89179865391575	4.52013062273976	4.97893257583579	4.67821017549632	5.01430288940966	5.12212203797508	4.50789158545447	4.41519281162948	4.67136834999341	4.88262906698168	5.07314920453209	4.76124339557742	5.09535672434727	4.54129962318192	4.23781591114822	4.79732743162777
ENSG00000169962	TAS1R3	1.51695053837552	0.861030854510155	0.893693048800564	2.20887112390138	-1.65952340648326	2.29795177267221	2.45806161227711	1.41424226148528	-0.189396057637531	0.23130838551932	2.21585982689091	0.781390158638441	1.31810438046897	2.70830170670504	1.36602689199087	0.599425726673804	-0.162489711673288	1.03688680954593	0.867834490412893	1.99822650335112	-0.702905770908224	0.482478570188285	1.09217202876664	0.190742408534454	0.825410500670941	0.346755722891917	0.445047484161915	0.164379470926953	-0.525106723642711	0.818764109306315	-0.580290151529173	0.187444591426594	-0.915267200357064	-1.05452784121917
ENSG00000107404	DVL1	5.31913077784872	5.56115316281383	5.35026612428514	4.63666713000805	5.50090610709783	4.96310996198617	4.61695459816179	5.4842568200786	5.63778836158226	5.27557393219394	4.78971592925971	5.30319046627571	5.22586441100324	5.10926716214906	5.21763122970772	5.12418454055677	5.06510620593668	5.77983940123161	5.61779974024441	5.56549354558425	5.63794713106327	5.60426678526324	5.64078293738512	5.84314812143423	5.89840741263901	5.5552087173801	5.44462306771423	6.01684040560159	5.8372698148128	5.66865456990968	5.79670090236258	5.05695796694703	4.99362221923	5.08049996100037
ENSG00000162576	MXRA8	6.41317921787038	6.55441153810635	6.51628180491795	7.00157067549384	7.43700186817082	7.36796415643339	6.16368292353664	7.04936329152181	7.78322246108283	7.45611617611807	6.65647657860229	6.49658958654746	6.42150889588487	5.96111458649008	6.95655715810824	6.62951458544666	6.60131025780037	7.485013802324	6.95568703888263	7.65073100558164	6.60153627459578	6.09273984115288	6.49554608951842	6.12105564693776	6.52928801562008	6.2067678595143	6.86164858867367	6.41210736803271	6.79742753364685	6.38042679514344	6.22565894141144	5.39676507713343	7.02487274749637	6.88028932112994
ENSG00000175756	AURKAIP1	6.07983386497641	6.15897192074297	5.52931107468224	5.69594229514279	6.21153945926699	5.9354897162419	5.21951726559581	6.09450164276685	6.0320922628202	6.10912946789689	5.47536583956829	6.10752786127475	6.27803058430912	6.02202146347806	5.70318976090677	6.07725963573525	5.55804961906073	6.016250293784	6.31278376704985	6.03125688993365	5.93826640870123	6.33256518252101	6.50257941266365	6.57697839205622	6.29152938276857	6.05975178661794	6.16237823750332	6.36486272032549	6.50551414230656	6.17714919134729	6.83716616547191	6.05537599135125	6.13633171786559	6.20670172146116
ENSG00000221978	CCNL2	6.91967916674724	6.46278529736685	6.83439511322543	5.40048376011192	6.45063229326487	6.75973704431714	6.20788163644008	7.11052566487975	7.27681096210769	6.62292827261711	5.46466192490972	6.41432738662778	6.425778250118	6.70099149691642	6.73815108326936	6.1235386495847	5.54371026624256	7.00809598188858	6.52413323008117	6.84635161072117	5.93999608723821	6.87479891639754	6.71933498361454	6.62636982678248	7.17275087259277	6.70456247737835	6.25101503651218	6.79045820963005	6.97191649733268	6.71982559740919	6.40814266501988	5.79616313764736	5.7343505199105	5.90935437898389
ENSG00000224870	MRPL20-AS1	4.25046028676173	4.72419336984	3.22461755143481	3.53361301833894	4.42668075457745	4.85504952452039	4.01848209288392	4.7109241962683	4.74758965904814	4.69290833914519	3.67317133685516	4.52165529974814	4.18340302807367	4.97726386060648	4.05965221288805	4.04338391198751	3.58352623568033	4.68394374358686	4.0395143431749	4.47777781563658	4.08133567710743	4.72050393958203	4.53278813887594	4.49449757150548	4.35673850406458	4.57189443950106	4.42776237178041	4.58703075714044	4.34165847902861	4.3790572018405	4.86223664627359	4.27689504739702	4.03906289870502	3.784761638339
ENSG00000242485	MRPL20	6.26165581315627	5.7425328083536	5.1400482384715	5.21857977318467	5.67293728090331	5.42223499420728	5.25102357205965	5.81863095111961	5.82335671624032	5.68969673104437	5.02115697805167	5.81622829674471	5.73538516031543	5.67317590704008	5.32013935852705	5.33880481841023	5.44018583015307	5.97836751944612	5.76868473671922	5.49219829547813	5.45742881849353	5.41239113936759	6.01489613255526	6.15442497756786	5.86541414377215	5.90149801984751	5.79116908018728	5.77237889337345	6.07695052504299	5.85691910271324	6.09311437449131	5.25375796016478	5.36304654911507	5.31510172437112
ENSG00000235098	ANKRD65	5.49341800995175	6.32200095590023	4.9913185449307	4.30503592337256	5.36546733306424	3.49798550218547	4.63479215993518	3.88164130461316	3.66459859457716	5.23808223662431	3.32555240816563	5.43501582315981	5.4086521683882	6.11485542010208	5.33378024751355	4.8309132377343	4.19068235365595	5.00173997701493	4.21835194778648	5.15902252172696	4.38934782979977	4.3325172046028	4.61845955192804	4.7059961443395	4.24790649875891	4.66020707414663	4.23148459640317	3.57560917357011	4.52488220876904	4.89194939375916	4.38096109103216	4.06212269568564	3.20925171339657	3.36436496277862
