"X"	"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"
"GO:0002699"	"GO:0002699"	"positive regulation of immune effector process"	232	-0.336880743704923	-1.67128174712327	8.60724366778078e-06	0.000410448814564427	0.000334538453706698	3498	"tags=40%, list=24%, signal=31%"
"GO:0007389"	"GO:0007389"	"pattern specification process"	332	0.355485936831059	1.64515287270128	8.91536315566776e-06	0.00042156931493229	0.000343602275712025	3443	"tags=40%, list=23%, signal=31%"
"GO:0060972"	"GO:0060972"	"left/right pattern formation"	112	0.45992914981689	1.88171068200423	9.07740521296862e-06	0.000425654659444787	0.000346932057130739	2939	"tags=49%, list=20%, signal=40%"
"GO:0044283"	"GO:0044283"	"small molecule biosynthetic process"	477	-0.283269731019875	-1.51442623067864	9.44900300963472e-06	0.000439417685414997	0.000358149683453488	2519	"tags=27%, list=17%, signal=23%"
"GO:2001212"	"GO:2001212"	"regulation of vasculogenesis"	15	-0.776560971498121	-2.24821414823754	9.92176043663932e-06	0.000452748346613741	0.000369014908607198	2362	"tags=67%, list=16%, signal=56%"
"GO:0036159"	"GO:0036159"	"inner dynein arm assembly"	17	0.774783421126293	2.15971860686529	9.97703838281569e-06	0.000452748346613741	0.000369014908607198	2002	"tags=82%, list=14%, signal=71%"
"GO:1902600"	"GO:1902600"	"proton transmembrane transport"	147	-0.388179401273961	-1.83994616914569	9.82761544078589e-06	0.000452748346613741	0.000369014908607198	3353	"tags=41%, list=23%, signal=32%"
"GO:0007041"	"GO:0007041"	"lysosomal transport"	115	-0.417077644919539	-1.88494655541765	1.05406788603605e-05	0.00047449919957799	0.000386743055112344	3558	"tags=39%, list=24%, signal=30%"
"GO:0032418"	"GO:0032418"	"lysosome localization"	71	-0.481514030577832	-2.0314260401931	1.13213990249251e-05	0.000505599304073442	0.000412091357991636	3676	"tags=54%, list=25%, signal=40%"
"GO:0006091"	"GO:0006091"	"generation of precursor metabolites and energy"	409	-0.285121959548981	-1.49542991245786	1.28361972412314e-05	0.000568734502963853	0.000463550032159514	3444	"tags=32%, list=23%, signal=25%"
"GO:0008544"	"GO:0008544"	"epidermis development"	254	0.376760694645878	1.68959354404755	1.39970032118759e-05	0.000615321383384578	0.000501520912780785	2899	"tags=30%, list=20%, signal=25%"
"GO:0007040"	"GO:0007040"	"lysosome organization"	106	-0.428392370733541	-1.93658621992038	1.51219000357627e-05	0.000654545626932592	0.000533490837698934	3524	"tags=41%, list=24%, signal=31%"
"GO:0080171"	"GO:0080171"	"lytic vacuole organization"	106	-0.428392370733541	-1.93658621992038	1.51219000357627e-05	0.000654545626932592	0.000533490837698934	3524	"tags=41%, list=24%, signal=31%"
"GO:0001503"	"GO:0001503"	"ossification"	343	0.350796091868748	1.62581652194063	1.58583098859825e-05	0.000681180990293311	0.00055520012995762	2460	"tags=28%, list=17%, signal=24%"
"GO:0006120"	"GO:0006120"	"mitochondrial electron transport, NADH to ubiquinone"	46	-0.56713295723907	-2.19386863710715	1.72483394795509e-05	0.000735275804935098	0.000599290391645959	4582	"tags=54%, list=31%, signal=37%"
"GO:0008654"	"GO:0008654"	"phospholipid biosynthetic process"	224	-0.335541104290946	-1.65661721341544	1.75241483036746e-05	0.000741416409810355	0.000604295323776102	3877	"tags=41%, list=26%, signal=30%"
"GO:0030301"	"GO:0030301"	"cholesterol transport"	84	-0.44873933959347	-1.94325370884516	1.79999701423154e-05	0.000744748764638298	0.00060701137701291	2220	"tags=36%, list=15%, signal=30%"
"GO:0009799"	"GO:0009799"	"specification of symmetry"	113	0.457867819216878	1.87979685881205	1.788148437222e-05	0.000744748764638298	0.00060701137701291	3509	"tags=53%, list=24%, signal=41%"
"GO:0009855"	"GO:0009855"	"determination of bilateral symmetry"	113	0.457867819216878	1.87979685881205	1.788148437222e-05	0.000744748764638298	0.00060701137701291	3509	"tags=53%, list=24%, signal=41%"
"GO:0009142"	"GO:0009142"	"nucleoside triphosphate biosynthetic process"	117	-0.410132427232727	-1.85364639492249	2.00443071306444e-05	0.000823279680468145	0.000671018410819958	4645	"tags=52%, list=32%, signal=36%"
"GO:0003356"	"GO:0003356"	"regulation of cilium beat frequency"	15	0.79724807985721	2.16082299589849	2.07212622784886e-05	0.000844916977109099	0.000688654002649695	2469	"tags=80%, list=17%, signal=67%"
"GO:0007368"	"GO:0007368"	"determination of left/right symmetry"	106	0.456642664178184	1.84560451208984	2.12772731578973e-05	0.000861346878125813	0.000702045279431719	2917	"tags=47%, list=20%, signal=38%"
"GO:0007032"	"GO:0007032"	"endosome organization"	91	-0.442499656553711	-1.92901321468733	2.14948753748065e-05	0.000863940455243115	0.000704159188030315	3520	"tags=41%, list=24%, signal=31%"
"GO:0060295"	"GO:0060295"	"regulation of cilium movement involved in cell motility"	13	0.809962288537566	2.08483235585433	2.37480241953084e-05	0.000934476448580423	0.000761649918431791	2174	"tags=77%, list=15%, signal=66%"
"GO:1902019"	"GO:1902019"	"regulation of cilium-dependent cell motility"	13	0.809962288537566	2.08483235585433	2.37480241953084e-05	0.000934476448580423	0.000761649918431791	2174	"tags=77%, list=15%, signal=66%"
"GO:0006650"	"GO:0006650"	"glycerophospholipid metabolic process"	250	-0.323618403588311	-1.62240241762003	2.36398980191932e-05	0.000934476448580423	0.000761649918431791	3877	"tags=41%, list=26%, signal=31%"
"GO:0032640"	"GO:0032640"	"tumor necrosis factor production"	134	-0.39005641597528	-1.8190856079632	2.41416324172267e-05	0.000936861831805066	0.000763594137508942	3394	"tags=43%, list=23%, signal=34%"
"GO:0032680"	"GO:0032680"	"regulation of tumor necrosis factor production"	134	-0.39005641597528	-1.8190856079632	2.41416324172267e-05	0.000936861831805066	0.000763594137508942	3394	"tags=43%, list=23%, signal=34%"
"GO:0036158"	"GO:0036158"	"outer dynein arm assembly"	20	0.735242292511417	2.13519132911563	2.53065242210207e-05	0.000975341176655366	0.000794956928846338	1624	"tags=70%, list=11%, signal=62%"
"GO:0071706"	"GO:0071706"	"tumor necrosis factor superfamily cytokine production"	138	-0.395179907257573	-1.84482583390871	2.62427731152529e-05	0.000991060968587439	0.000807769427503759	3394	"tags=43%, list=23%, signal=33%"
"GO:1903555"	"GO:1903555"	"regulation of tumor necrosis factor superfamily cytokine production"	138	-0.395179907257573	-1.84482583390871	2.62427731152529e-05	0.000991060968587439	0.000807769427503759	3394	"tags=43%, list=23%, signal=33%"
"GO:0002697"	"GO:0002697"	"regulation of immune effector process"	346	-0.302352542781364	-1.56234427111433	2.60878865665142e-05	0.000991060968587439	0.000807769427503759	2700	"tags=31%, list=18%, signal=26%"
"GO:0032479"	"GO:0032479"	"regulation of type I interferon production"	118	-0.407138083084361	-1.84223511670812	2.76636259135678e-05	0.0010308822716268	0.000840225988884037	3651	"tags=39%, list=25%, signal=30%"
"GO:0032606"	"GO:0032606"	"type I interferon production"	118	-0.407138083084361	-1.84223511670812	2.76636259135678e-05	0.0010308822716268	0.000840225988884037	3651	"tags=39%, list=25%, signal=30%"
"GO:0002009"	"GO:0002009"	"morphogenesis of an epithelium"	420	0.330564823106626	1.55554360222881	2.88536596356402e-05	0.00106815488664307	0.000870605228756815	3362	"tags=36%, list=23%, signal=29%"
"GO:0060287"	"GO:0060287"	"epithelial cilium movement involved in determination of left/right asymmetry"	12	0.821327803007569	2.07695163059268	2.95658716098006e-05	0.00108030054698298	0.000880504612760813	2002	"tags=83%, list=14%, signal=72%"
"GO:0032760"	"GO:0032760"	"positive regulation of tumor necrosis factor production"	86	-0.445792993268806	-1.93900485376932	2.942890702952e-05	0.00108030054698298	0.000880504612760813	3568	"tags=51%, list=24%, signal=39%"
